frame_num;frame_epoch_time;ip_src;tcp_srcport;ip_ttl;ip_id;DF;tcp_tsval;tcp_seq;tcp_flags;tcp_stream;payload_len
172753;1569165665.249928;180.95.231.116;47278;52;0x0000ea16;1;1208103365.0;1145428947;0x00000002;2772;0
172759;1569165665.4003878;180.95.231.116;47338;51;0x0000bbfe;1;1208103402.0;2439940628;0x00000002;2773;0
176807;1569165802.4001958;121.57.226.250;45200;53;0x00003617;1;1208160062.0;1138964777;0x00000002;2833;0
218848;1569166587.5113492;123.157.192.107;58002;53;0x0000219f;1;1208342557.0;2108815746;0x00000002;3654;0
218854;1569166587.649904;123.157.192.107;58078;53;0x0000ce3b;1;1208342587.0;1144591872;0x00000002;3655;0
228161;1569166733.243106;124.90.48.198;38966;53;0x0000c10e;1;1208375518.0;942447056;0x00000002;3831;0
228167;1569166733.39713;118.81.226.173;49118;55;0x0000f613;1;1208392817.0;4192037474;0x00000002;3832;0
237692;1569166858.222671;118.81.226.173;49378;55;0x00003f25;1;1208424028.0;1122576761;0x00000002;3979;0
237701;1569166858.3054988;118.81.226.173;49432;55;0x00000d05;1;1208424048.0;2741967733;0x00000002;3980;0
262675;1569167234.3868852;124.90.51.40;45173;53;0x0000fc03;1;1208500807.0;3952131652;0x00000002;4354;0
262726;1569167234.5789058;124.90.51.40;45288;53;0x000070b3;1;1208500855.0;2621911748;0x00000002;4356;0
12125;1569170915.118672;124.225.42.20;40420;53;0x00000693;1;1209417652.0;2013214760;0x00000002;265;0
12142;1569170915.330385;222.94.163.11;53776;55;0x0000f401;1;1209424655.0;3525750542;0x00000002;267;0
15748;1569170993.981763;222.94.163.11;40182;55;0x0000bab5;1;1209444319.0;788209002;0x00000002;318;0
15790;1569170995.292917;124.235.138.45;52814;53;0x000045d1;1;1209437705.0;4116499416;0x00000002;320;0
25975;1569171076.249956;123.144.24.104;56474;52;0x00005dd5;1;1209464883.0;1151182310;0x00000002;533;0
26054;1569171076.4448519;123.144.24.104;56622;52;0x0000eff9;1;1209464932.0;1271797661;0x00000002;534;0
41124;1569171241.770424;175.184.165.250;49668;52;0x00006be9;1;1209506138.0;338230668;0x00000002;811;0
41556;1569171249.227991;112.66.97.143;44880;53;0x000098bb;1;1209499345.0;163439451;0x00000002;823;0
66661;1569171457.8407378;113.128.104.210;42982;53;0x0000bc08;1;1209560169.0;2314195041;0x00000002;1074;0
66678;1569171458.117999;123.14.252.152;56486;55;0x00004c39;1;1209551583.0;482281190;0x00000002;1075;0
122650;1569171928.232473;118.81.84.197;58562;55;0x00008d21;1;1209677768.0;3502160617;0x00000002;1684;0
122657;1569171928.3167481;118.81.84.197;58600;55;0x00003065;1;1209677788.0;3875932089;0x00000002;1685;0
144665;1569172102.8156838;112.80.136.70;34656;53;0x000070de;1;1209721411.0;2447938205;0x00000002;1868;0
144671;1569172103.738971;112.80.136.70;34930;52;0x0000eac3;1;1209721641.0;818874858;0x00000002;1869;0
217787;1569172650.15397;125.84.178.155;31011;52;0x000070b0;1;70483472.0;544280224;0x00000002;3209;0
259011;1569172853.4093618;123.145.6.31;59190;52;0x00007c1f;1;1209909174.0;2066269097;0x00000002;3836;0
259024;1569172853.577136;124.90.48.198;53098;53;0x0000a951;1;1209902262.0;639307239;0x00000002;3837;0
266811;1569172928.813463;123.145.6.31;35338;52;0x0000dd57;1;1209928025.0;761189390;0x00000002;3920;0
266833;1569172929.003809;123.145.6.31;35406;52;0x00005732;1;1209928072.0;3336986298;0x00000002;3921;0
278056;1569173000.865575;171.36.131.38;37250;52;0x00005c81;1;1209939082.0;2032494603;0x00000002;4061;0
278063;1569173001.066289;171.36.131.38;37366;52;0x0000bfa8;1;1209939134.0;3988491030;0x00000002;4062;0
433914;1569174303.739107;27.224.136.95;34542;53;0x0000e563;1;1210271763.0;3475680624;0x00000002;6350;0
433920;1569174303.8497858;27.224.136.95;34608;53;0x00009057;1;1210271791.0;2074466424;0x00000002;6351;0
14611;1569174504.114252;118.81.86.172;46502;55;0x0000af4f;1;1210313097.0;3147777734;0x00000002;411;0
14632;1569174504.197838;118.81.86.172;46558;55;0x00002e13;1;1210313118.0;849397645;0x00000002;412;0
28624;1569174589.761008;27.211.59.21;53646;55;0x0000d582;1;1210343272.0;2671151850;0x00000002;699;0
28869;1569174591.280832;27.211.59.21;54212;55;0x0000e976;1;1210343652.0;2695530898;0x00000002;704;0
29000;1569174592.2790701;27.211.59.21;54212;55;0x0000e977;1;1210343902.0;2695530898;0x00000002;704;0
55345;1569174814.1703172;219.140.116.82;34038;53;0x0000d743;1;1210399370.0;646901193;0x00000002;1029;0
55352;1569174814.295053;36.32.3.230;44586;52;0x0000298c;1;1210392445.0;2789684977;0x00000002;1030;0
55464;1569174823.221887;182.138.162.188;43092;53;0x0000e738;1;921415612.0;823478404;0x00000002;1032;0
65231;1569174910.1541011;123.191.146.126;48168;52;0x0000e364;1;1210436988.0;1669017112;0x00000002;1102;0
65274;1569174910.49188;36.5.183.28;3308;53;0x00006399;1;1210419811.0;939715066;0x00000002;1105;0
78916;1569175042.682699;123.191.146.126;53022;52;0x000060e4;1;1210470118.0;1844915714;0x00000002;1362;0
79498;1569175043.2550988;123.191.146.126;53308;52;0x00005d35;1;1210470261.0;3208647232;0x00000002;1363;0
103046;1569175169.679442;116.252.2.92;51912;52;0x00002372;1;1210488243.0;3927750337;0x00000002;1809;0
103074;1569175169.889792;116.252.2.92;52006;52;0x0000ecc5;1;1210488296.0;3715987757;0x00000002;1811;0
